"Statistic","Year","Make and Model","UNIT","VALUE"
"New Private Cars Licensed for the First Time","2020","Skoda Kodiaq","Number","1519"
"New Private Cars Licensed for the First Time","2020","Skoda Karoq","Number","1005"
"New Private Cars Licensed for the First Time","2020","Skoda Scala","Number","438"
"New Private Cars Licensed for the First Time","2020","Skoda Kamiq","Number","512"
"New Private Cars Licensed for the First Time","2020","Ssangyong Tivoli","Number","24"
"New Private Cars Licensed for the First Time","2020","Subaru Impreza","Number","9"
"New Private Cars Licensed for the First Time","2020","Subaru Forester","Number","37"
"New Private Cars Licensed for the First Time","2020","Subaru XV","Number","6"
"New Private Cars Licensed for the First Time","2020","Suzuki Swift","Number","167"
"New Private Cars Licensed for the First Time","2020","Suzuki Baleno","Number","4"
"New Private Cars Licensed for the First Time","2020","Suzuki Ignis","Number","202"
"New Private Cars Licensed for the First Time","2020","Suzuki Vitara","Number","470"
"New Private Cars Licensed for the First Time","2020","Suzuki SX4","Number","43"
"New Private Cars Licensed for the First Time","2020","Suzuki Celerio","Number","5"
"New Private Cars Licensed for the First Time","2020","Tesla Model 3","Number","716"
"New Private Cars Licensed for the First Time","2020","Tesla Model S","Number","33"
"New Private Cars Licensed for the First Time","2020","Tesla Model X","Number","16"
"New Private Cars Licensed for the First Time","2020","Toyota Camry","Number","360"
"New Private Cars Licensed for the First Time","2020","Toyota Rav4","Number","1296"
"New Private Cars Licensed for the First Time","2020","Toyota Avensis","Number","0"
"New Private Cars Licensed for the First Time","2020","Toyota Yaris","Number","1824"
"New Private Cars Licensed for the First Time","2020","Toyota Prius","Number","81"
"New Private Cars Licensed for the First Time","2020","Toyota Aygo","Number","261"
"New Private Cars Licensed for the First Time","2020","Toyota Corolla","Number","3625"
"New Private Cars Licensed for the First Time","2020","Toyota Auris","Number","2"
"New Private Cars Licensed for the First Time","2020","Toyota Verso","Number","0"
"New Private Cars Licensed for the First Time","2020","Toyota C-HR","Number","1976"
"New Private Cars Licensed for the First Time","2020","Volkswagen Passat","Number","1152"
"New Private Cars Licensed for the First Time","2020","Volkswagen Golf","Number","2126"
"New Private Cars Licensed for the First Time","2020","Volkswagen Polo","Number","1414"
"New Private Cars Licensed for the First Time","2020","Volkswagen Jetta","Number","0"
"New Private Cars Licensed for the First Time","2020","Volkswagen Sharan","Number","45"
"New Private Cars Licensed for the First Time","2020","Volkswagen Beetle","Number","0"
"New Private Cars Licensed for the First Time","2020","Volkswagen Touran","Number","56"
"New Private Cars Licensed for the First Time","2020","Volkswagen Tiguan","Number","2731"
"New Private Cars Licensed for the First Time","2020","Volkswagen Up","Number","10"
"New Private Cars Licensed for the First Time","2020","Volkswagen Arteon","Number","172"
"New Private Cars Licensed for the First Time","2020","Volkswagen T-Roc","Number","1136"
"New Private Cars Licensed for the First Time","2020","Volkswagen T-Cross","Number","865"
"New Private Cars Licensed for the First Time","2020","Volkswagen ID.3","Number","348"
"New Private Cars Licensed for the First Time","2020","Volvo S60","Number","34"
"New Private Cars Licensed for the First Time","2020","Volvo XC90","Number","206"
"New Private Cars Licensed for the First Time","2020","Volvo V40","Number","6"
"New Private Cars Licensed for the First Time","2020","Volvo XC60","Number","310"
"New Private Cars Licensed for the First Time","2020","Volvo V60","Number","60"
"New Private Cars Licensed for the First Time","2020","Volvo S90","Number","47"
"New Private Cars Licensed for the First Time","2020","Volvo V90","Number","32"
"New Private Cars Licensed for the First Time","2020","Volvo XC40","Number","430"
"New Private Cars Licensed for the First Time","2020","Other","Number","1667"
"New Private Cars Licensed for the First Time","2020","All models","Number","84309"
"New Private Cars Licensed for the First Time Rank","2020","Alfa Romeo Giulietta","Number","196"
"New Private Cars Licensed for the First Time Rank","2020","Alfa Romeo Giulia","Number","191"
"New Private Cars Licensed for the First Time Rank","2020","Alfa Romeo Stelvio","Number","198"
"New Private Cars Licensed for the First Time Rank","2020","Audi TT","Number","185"
"New Private Cars Licensed for the First Time Rank","2020","Audi A3","Number","53"
"New Private Cars Licensed for the First Time Rank","2020","Audi A4","Number","47"
"New Private Cars Licensed for the First Time Rank","2020","Audi A6","Number","45"
"New Private Cars Licensed for the First Time Rank","2020","Audi A8","Number","179"
"New Private Cars Licensed for the First Time Rank","2020","Audi Q7","Number","116"
"New Private Cars Licensed for the First Time Rank","2020","Audi S5","Number",""
"New Private Cars Licensed for the First Time Rank","2020","Audi A5","Number","102"
"New Private Cars Licensed for the First Time Rank","2020","Audi Q5","Number","70"
"New Private Cars Licensed for the First Time Rank","2020","Audi A1","Number","100"
"New Private Cars Licensed for the First Time Rank","2020","Audi A7","Number","164"
"New Private Cars Licensed for the First Time Rank","2020","Audi Q3","Number","48"
"New Private Cars Licensed for the First Time Rank","2020","Audi Q2","Number","90"
"New Private Cars Licensed for the First Time Rank","2020","Audi Q8","Number","152"
"New Private Cars Licensed for the First Time Rank","2020","Audi e-tron","Number","118"
"New Private Cars Licensed for the First Time Rank","2020","BMW 5 Series","Number","41"
"New Private Cars Licensed for the First Time Rank","2020","BMW 7 Series","Number","168"
"New Private Cars Licensed for the First Time Rank","2020","BMW X5","Number","65"
